"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",278706,3053.4044584616
"2","casual","Mon",160437,2715.2761333109
"3","casual","Tue",158627,2477.4782161927
"4","casual","Wed",163295,2466.92202455678
"5","casual","Thu",171461,2562.87158012609
"6","casual","Fri",222434,2615.88199645738
"7","casual","Sat",351844,2817.00776196269
"8","member","Sun",278734,1095.54064807307
"9","member","Mon",282837,921.198987402638
"10","member","Tue",303177,909.76888748157
"11","member","Wed",317753,915.274958851687
"12","member","Thu",315424,908.341559297961
"13","member","Fri",327945,945.185220082636
"14","member","Sat",335564,1070.21373866088
"15",NA,NA,148183,NA
